state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Washington,F,Master,588174.235,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934
Arizona,F,Bachelor,697953.59,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
Nevada,F,Bachelor,1288743.17,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
California,M,Bachelor,764586.18,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
Washington,M,High School or Below,536307.65,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
Oregon,F,Bachelor,825629.78,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
Oregon,F,College,538089.86,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
Arizona,M,Master,721610.03,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
Oregon,M,Bachelor,2412750.4,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
Oregon,F,College,738817.81,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
California,M,College,473899.2,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
California,F,College,819719.71,0.0,110.0,0.0,Personal Auto,SUV,528.0
California,F,Master,879879.7,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
Arizona,F,High School or Below,881901.89,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
California,F,College,538443.17,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
Oregon,F,Bachelor,746313.94,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
Nevada,F,High School or Below,256686.78,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
California,F,College,394524.16,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
Oregon,F,College,571033.31,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
California,F,High School or Below,816261.71,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
Oregon,F,High School or Below,287205.13,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
Washington,M,Bachelor,617710.93,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
Arizona,F,Bachelor,2412750.4,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
Nevada,F,Bachelor,245019.1,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
California,F,Bachelor,239210.79,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
Oregon,F,College,580206.6,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
Washington,M,College,916206.32,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
Arizona,F,College,1290256.01,86584.0,111.0,2.0,Personal Auto,Four-Door Car,532.8
Oregon,F,Master,323536.05,75690.0,80.0,1.0,Personal Auto,Four-Door Car,384.0
Arizona,F,College,245458.35,23158.0,63.0,1.0,Personal Auto,Four-Door Car,322.294043
Nevada,F,High School or Below,1897545.61,65999.0,237.0,0.0,Corporate Auto,Luxury,615.927769
Washington,F,College,473787.17,0.0,130.0,0.0,Personal Auto,SUV,23.820158
Oregon,F,Bachelor,493291.63,37260.0,62.0,0.0,Corporate Auto,Four-Door Car,15.437681
Arizona,F,High School or Below,574422.97,68987.0,71.0,0.0,Personal Auto,Four-Door Car,204.475147
California,F,Bachelor,1389173.57,42305.0,117.0,0.0,Personal Auto,Four-Door Car,561.6
Oregon,F,Master,738097.67,65706.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
Oregon,F,Bachelor,309003.41,0.0,90.0,0.0,Personal Auto,Two-Door Car,648.0
Arizona,F,High School or Below,252163.31,53243.0,66.0,2.0,Personal Auto,Four-Door Car,157.397849
Nevada,F,High School or Below,265206.18,0.0,70.0,1.0,Corporate Auto,Two-Door Car,484.318536
Oregon,F,College,277104.5,50071.0,71.0,0.0,Corporate Auto,Two-Door Car,18.918935
California,F,Bachelor,393900.64,60021.0,99.0,0.0,Personal Auto,Four-Door Car,882.871945
Arizona,F,High School or Below,1223187.97,43244.0,103.0,0.0,Personal Auto,Luxury,494.4
Washington,M,Doctor,495165.61,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317
Oregon,F,Doctor,1281910.29,10105.0,172.0,3.0,Personal Auto,SUV,0.517753
Oregon,F,High School or Below,551434.4,23218.0,71.0,0.0,Personal Auto,Two-Door Car,447.79344
California,F,Bachelor,334387.53,0.0,92.0,0.0,Corporate Auto,Four-Door Car,529.624084
Oregon,F,College,3670742.64,24804.0,104.0,0.0,Personal Auto,SUV,593.830288
California,F,Bachelor,3347334.95,33190.0,106.0,0.0,Corporate Auto,SUV,508.8
Nevada,F,High School or Below,798343.17,36014.0,69.0,3.0,Special Auto,Four-Door Car,173.956072
Washington,F,Master,487938.48,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803
California,F,Bachelor,429399.73,16701.0,113.0,0.0,Personal Auto,Four-Door Car,831.625979
Arizona,F,College,716439.55,46623.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
California,F,College,761951.58,64749.0,64.0,0.0,Special Auto,Four-Door Car,302.56519
Arizona,F,High School or Below,395800.28,0.0,101.0,0.0,Personal Auto,SUV,484.8
Oregon,F,High School or Below,449949.33,16969.0,124.0,2.0,Personal Auto,SUV,704.768111
Oregon,F,Master,405956.74,11621.0,108.0,0.0,Personal Auto,Four-Door Car,518.4
Arizona,F,Bachelor,445811.34,17622.0,65.0,1.0,Personal Auto,Four-Door Car,312.0
California,F,Bachelor,811033.31,11489.0,105.0,0.0,Personal Auto,Two-Door Car,504.0
California,F,High School or Below,2426101.78,66525.0,100.0,0.0,Personal Auto,SUV,104.331355
Washington,F,College,293069.35,33663.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
Oregon,F,College,867219.43,22547.0,112.0,0.0,Corporate Auto,SUV,537.6
Arizona,F,High School or Below,1163866.93,61486.0,97.0,0.0,Personal Auto,Two-Door Car,465.258644
California,F,College,1172777.65,29879.0,102.0,0.0,Personal Auto,Four-Door Car,500.254235
Oregon,F,High School or Below,2264383.48,93011.0,113.0,0.0,Personal Auto,SUV,281.451042
Oregon,F,Master,261447.43,65186.0,65.0,0.0,Personal Auto,Two-Door Car,5.434505
Oregon,F,Master,245175.27,26840.0,64.0,2.0,Personal Auto,Four-Door Car,307.2
Oregon,F,Bachelor,678127.02,0.0,104.0,1.0,Personal Auto,Luxury,982.399613
Oregon,F,Bachelor,497480.15,75644.0,65.0,3.0,Personal Auto,Two-Door Car,467.803638
Oregon,F,Bachelor,859160.49,38984.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
Oregon,F,High School or Below,559216.14,71811.0,71.0,0.0,Personal Auto,Four-Door Car,29.03416
Nevada,F,College,800947.28,20961.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Washington,F,Master,588174.235,41275.0,96.0,0.0,Personal Auto,Four-Door Car,41.122303
California,F,Bachelor,5816655.35,61321.0,186.0,1.0,Personal Auto,Luxury,427.63121
California,F,College,802522.94,0.0,77.0,0.0,Personal Auto,Two-Door Car,25.807685
California,F,High School or Below,578018.22,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
California,F,Doctor,411853.91,34378.0,102.0,0.0,Personal Auto,SUV,489.6
Nevada,F,Master,252307.02,43072.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
Oregon,F,College,655421.64,25222.0,90.0,0.0,Personal Auto,Four-Door Car,475.623251
Washington,F,Bachelor,538275.2,77552.0,68.0,1.0,Corporate Auto,Four-Door Car,45.215059
California,F,College,592672.94,23091.0,96.0,5.0,Personal Auto,Four-Door Car,460.8
California,F,Bachelor,268347.07,48269.0,69.0,3.0,Corporate Auto,Four-Door Car,282.151207
Oregon,F,Bachelor,269518.24,32720.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
California,F,College,604702.52,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
Oregon,F,College,1317101.28,21513.0,119.0,1.0,Personal Auto,Two-Door Car,679.827592
Washington,F,College,1595001.95,0.0,87.0,1.0,Personal Auto,Two-Door Car,46.041452
Oregon,F,Bachelor,252765.38,80744.0,63.0,0.0,Corporate Auto,Four-Door Car,11.879037
Oregon,F,Bachelor,267209.58,52822.0,67.0,0.0,Corporate Auto,Two-Door Car,350.529033
Oregon,F,Bachelor,2094619.25,69738.0,74.0,1.0,Personal Auto,Four-Door Car,492.127532
Arizona,F,Master,837535.39,17780.0,109.0,0.0,Personal Auto,SUV,132.588288
California,F,Bachelor,480166.15,18107.0,62.0,0.0,Personal Auto,Four-Door Car,297.6
Arizona,F,Bachelor,574594.33,57740.0,74.0,3.0,Personal Auto,Four-Door Car,269.905129
Oregon,F,College,606611.6,32627.0,76.0,0.0,Personal Auto,Two-Door Car,380.036697
Oregon,F,Bachelor,476281.79,65795.0,62.0,1.0,Corporate Auto,Two-Door Car,49.011099
